color,from,l,a,b,parent
赪紫,故宫里的色彩美学_郭浩,32.522,54.663,-24.45,紫
油紫,故宫里的色彩美学_郭浩,13.249,29.798,-8.929,紫
红光甲基紫,中国色名综览_凑幸卫,41.2169516,46.90013556,-34.70787651,紫
荆褐,国标,51.4,29,13.5,流黄
黄棕,国标,42.9,10.1,8.9,流黄
雄黄,色谱_perchouli,72.261,30.165,77.225,流黄
雄黄,敦煌彩绘文物数字化保护色卡制作方法研究_梁金星,62.05,58.84,71.32,流黄
雄黄,中国美色_中国国家地理,71.167,8.571,60.913,流黄
雄黄,中国色名综览_凑幸卫,74.03865492,38.49696568,48.03366579,流黄
秋香色,中国颜色_黄仁达,69.698,5.423,63.246,流黄
古铜褐,色谱_perchouli,26.957,13.435,25.219,流黄
棕榈绿,色谱_perchouli,31.89,1.295,33.427,流黄
棕榈绿,色谱_perchouli,31.89,1.295,33.427,流黄
淡赭,中国色名综览_凑幸卫,61.64994567,11.87628084,11.0798414,流黄
苍黄,故宫里的色彩美学_郭浩,65.857,-5.03,66.057,流黄
苍黄,故宫里的色彩美学_郭浩,65.857,-5.03,66.057,流黄
苍黄,中国传统色彩图鉴_鸿洋,60.25,0.687,12.098,流黄
玳瑁黄,中国颜色_黄仁达,35.169,23.534,13.557,流黄
玳瑁黄,中国色名综览_凑幸卫,71.5970387,14.58736955,15.78540406,流黄
暗海水绿,色谱_perchouli,30.981,1.257,30.491,流黄
砂绿,乾隆色谱_刘剑,49,-21,49,流黄
新芽色,DIC中国传统色,65.415,-5.654,36.739,流黄
深芽绿,DIC中国传统色,60.239,-15.311,45.896,流黄
沙饧,故宫里的色彩美学_郭浩,69.126,1.572,31.308,流黄
麝香褐,故宫里的色彩美学_郭浩,34.726,10.573,13.952,流黄
米棕,绞丝染色基本色谱_何进丰,75,19,37,黄
麝香褐,绞丝染色基本色谱_何进丰,75,19,37,流黄
