color,l,a,b,subparent,parent
淡橘橙,73.90974382,27.21732716,65.93603428,黄,黄
淡茧黄,86.61476294,4.851380464,41.85638542,黄,黄
淡蜜黄,84.32998097,3.858530089,51.1871637,黄,黄
深米黄,83,10,45,黄,黄
炒米黄,83.48663823,3.596962548,42.79111054,黄,黄
牙绿,88.995,-13.346,37.052,黄,黄
玫瑰粉,81.08100449,19.96477071,27.20051199,黄,黄
琉璃黄,76.777,5.07,78.387,黄,黄
琥珀黄,69.40316061,17.61578787,55.14531277,黄,黄
瓜瓤粉,84.10064461,11.2978772,32.2071478,黄,黄
甘草黄,80.78623577,5.046728989,41.38324022,黄,黄
田赤,84.103,-6.136,40.811,黄,黄
田赤金色,77.247,4.047,37.979,黄,黄
石蜜,77.914,-0.374,29.989,黄,黄
石黄,78.7254368,6.136803841,51.04753639,黄,黄
硫化黄,80,3,44,黄,黄
硫华黄,84.91978906,-3.724634731,66.71003469,黄,黄
禹余粮,83.696,-6.724,45.764,黄,黄
秋葵黄,85.05894499,-3.863632118,55.18242442,黄,黄
秋香绿,65.7,-8.7,51.9,黄,黄
篾黄,87.58167595,1.969502046,30.96524758,黄,黄
米棕,75,19,37,黄,黄
米白,84.518,7.1212,30.2788,黄,黄
米色,81.43333333,10.33333333,29.06666667,黄,黄
米黄,83.49880384,10.53518755,24.90521448,黄,白
糙米黄,76,13,42,黄,黄
素馨黄,84.98716876,5.786601412,74.03998758,黄,黄
紫赤金色,74.022,12.893,75.137,黄,黄
绢纨,88.568,-6.811,39.191,黄,黄
绮钱,86.344,-14.548,40.521,黄,黄
缃叶,84.757,-6.188,65.005,黄,黄
翠樽,81.715,-14.994,46.873,黄,黄
翠缥,80.116,-29.27,70.604,黄,黄
肉色,82.16138316,19.17294576,30.77275606,黄,黄
艳黄,71.866,18.536,69.047,黄,黄
芒果黄,81.00850678,-1.547335485,35.51261238,黄,黄
芥黄,68.54576236,4.839253732,63.68057383,黄,黄
芸黄,70.163,10.604,35.129,黄,黄
芽绿,73.62666708,-23.12595861,45.92798988,黄,黄
苦瓜绿,85.305,-16.129,38.581,黄,黄
茉莉黄,89.98459319,-0.002189062,38.82001014,黄,黄
茧色,68.641,5.788,35.053,黄,黄
草黄,72.74498197,-3.245166738,54.01981532,黄,黄
莺儿,89.101,-5.069,28.694,黄,白
葱黄,69.509,-28.502,60.543,黄,黄
葵扇黄,83.37796899,2.365828237,39.58738724,黄,黄
葵黄,79.37096249,9.635131974,68.34735432,黄,黄
蒿黄,80.10201828,-3.346801982,52.47183229,黄,黄
藤黄,79.86920707,6.674146821,68.76564403,黄,黄
虎皮黄,73.0395486,9.532620114,62.52775626,黄,黄
蛋壳黄,83.04935196,14.53205119,29.6653772,黄,黄
蛋黄,75.419,9.371,53.5975,黄,黄
蜜合色,79.891,14.061,25.825,黄,白
蜜色,86,0,33,黄,黄
蜜黄,85.07962235,9.574293578,43.93239439,黄,黄
蝶粉,77.673,13.193,25.761,黄,白
蝶黄,83.72474407,-9.814266984,55.29563811,黄,黄
谷黄,74.963,8.371,77.288,黄,黄
赤璋,79.869,5.619,24.377,黄,白
赤金,73.609,11.346,54.119,黄,黄
软木黄,70.67654493,17.5953665,40.80156616,黄,黄
迎春黄,91.05366463,-7.010262145,79.09664939,黄,黄
郁金,74.089,4.838,69.626,黄,黄
金叶黄,73.38677815,29.06114104,70.40870642,黄,黄
金瓜黄,86.57758903,-0.421652126,76.46709078,黄,黄
金盏黄,81.7,7.089,82.675,黄,黄
金色,76.449,7.682333333,46.25966667,黄,黄
金莺黄,71.02822273,22.29506636,43.71855602,黄,黄
金黄,68.65311111,20.67611111,59.70033333,黄,黄
雅梨黄,81.92869223,11.49742785,55.5944514,黄,黄
雌黄,69.3245,13.53725,44.20475,黄,黄
青粲,82.795,-25.759,63.568,黄,黄
青黄,83.4295,-2.4225,63.7665,黄,黄
鞠衣,69.447,7.87,59.572,黄,黄
韭黄,66,-10,43,黄,黄
韮牙黄,74,-6,40,黄,黄
