color,l,a,b,subparent,parent
鸦雏,40.655,9.691,-7.986,紫,黑
鸳鸯紫,25.20656812,36.91173529,-11.50431917,紫,黑
鹞冠紫,22.737,33.178,2.325,紫,黑
黛紫,31.882,14.239,-14.079,紫,黑
黪紫,59.562,40.626,-8.803,紫,赤
鼠背灰,50.82712172,11.88639656,-0.482350711,紫,黑
齐紫,27.793,43.185,-27.798,紫,黑
龙睛鱼紫,31.83328434,16.8081091,-10.42512269,紫,黑
龙胆紫,27.378,16.786,-26.4175,紫,黑
丁子茶,56.91,18.52,37.43,流黄,黄
乌金,52.778,3.914,33.107,流黄,黄
兽皮色,62.825,4.323,24.915,流黄,黄
古铜褐,35.44287174,12.05257944,28.25511769,流黄,黑
吉金,47.894,5.881,25.381,流黄,黑
大云,52.168,5.247,26.576,流黄,黄
大赤,62.373,-2.422,42.707,流黄,黄
射干,43.33,5.641,23.852,流黄,黑
山鸡褐,49.34914484,15.77230399,37.7511049,流黄,黄
山鸡黄,57.69919086,4.399509785,45.01250878,流黄,黄
巨吕,60.44,3.426,32.077,流黄,黄
帆黄,66.68471568,19.85666218,43.11640806,流黄,黄
库金,63.9435,12.66,47.369,流黄,黄
昏黄,62.043,11.351,43.517,流黄,黄
暗海水绿,38.48338435,1.530420319,32.34024476,流黄,黑
杏子,66.295,19.329,58.374,流黄,黄
枯黄,67.4375,17.7385,37.281,流黄,黄
桂皮淡棕,65.78960326,11.96795566,28.50234202,流黄,黄
桂皮色,57.042,12.305,26.671,流黄,黄
棕叶绿,56.18803313,1.745283489,40.84557828,流黄,黄
棕榈绿,38.44039879,1.622833423,38.91483889,流黄,黄
棕茶,58.99,8.831,31.412,流黄,黄
檀香色,61.019,15.909,47.727,流黄,黄
流黄,57.7035,10.726,46.721,流黄,黄
深芽绿,60.239,-15.311,45.896,流黄,黄
深黄,64.8,25.1,59.5,流黄,黄
灰黄,66.4,6.1,27.7,流黄,黄
砂绿,49,-21,49,流黄,黄
碧螺春绿,51.02204769,-4.377930478,49.21978441,流黄,黄
秋色,45.062,8.191,26.813,流黄,黑
秋香色,64.79442857,6.273,52.28471429,流黄,黄
粽叶绿,45.796,4.485,46.23,流黄,黄
红友,63.918,24.722,51.612,流黄,黄
红狐色,58.515,13.197,30.925,流黄,黄
老茯神,57.627,5.485,47.453,流黄,黄
苍黄,58.43978853,2.152596376,38.66645201,流黄,黄
苔绿,51.58533994,-3.416744009,39.67760386,流黄,黄
莱阳梨黄,49.71988614,4.488084539,31.58765926,流黄,黄
萱草色,65.849,31.541,63.55,流黄,黄
萱草黄,65.849,31.541,63.55,流黄,黄
蒸栗,58.978,4.167,26.831,流黄,黄
虾黄,63.883,13.61,47.206,流黄,黄
蛾黄,61.073,11.364,53.823,流黄,黄
蜥蜴绿,48.96795212,5.116133028,37.46795786,流黄,黄
豆黄,66,17,44,流黄,黄
远志,44.923,5.148,28.243,流黄,黑
选金,62.415,0.568,27.555,流黄,黄
郁金裙,62.271,21.631,53.17,流黄,黄
金埒,64.013,8.471,38.021,流黄,黄
降真香,56.295,4.322,27.082,流黄,黄
露褐,59.353,17.636,34.391,流黄,黄
风帆黄,66.207,20.19,64.153,流黄,黄
香黄,42,10.8,27.8,流黄,黑
驼灰,54,10,23,流黄,赤
鲛青,55.30364872,1.249470843,28.57088775,流黄,黄
鹿皮棕,64.444,2.44,33.07,流黄,黄
黄埃,62.928,8.34,21.266,流黄,白
黄栌色,60.19366667,23.41866667,47.52333333,流黄,黄
黄棕,52.40966667,13.85266667,27.62266667,流黄,赤
黄棕色,54.329,4.458,24.968,流黄,黄
黄流,46.823,20.785,41.872,流黄,黄
