color,from,l,a,b,parent
铁水红,中国色名综览_凑幸卫,64.05278203,55.74616174,35.79593874,赤
极光红,色谱_perchouli,54.331,67.689,57.33,赤
红汞红,色谱_perchouli,54.501,66.542,55.694,赤
谷鞘红,中国色名综览_凑幸卫,74.04365536,39.90681497,22.6828303,赤
苹果红,色谱_perchouli,57.804,58.409,43.527,赤
苹果红,中国色名综览_凑幸卫,64.0796225,50.58793571,12.75954922,赤
苹果红,中国色名综览_凑幸卫,71.55899501,47.20049815,28.738336,赤
桂红,色谱_perchouli,58.649,57.3,41.833,赤
夕阳红,色谱_perchouli,48.582,66.251,54.08,赤
夕阳红,中国色名综览_凑幸卫,64.53646046,59.57112419,15.81005405,赤
樱桃红,中国色名综览_凑幸卫,42.06119909,63.32696659,22.75339291,赤
珊瑚红,色谱_perchouli,55.821,62.456,45.576,赤
珊瑚红,中国色名综览_凑幸卫,53.92750678,49.59128172,20.11690722,赤
鹤顶红,色谱_perchouli,46.159,64.65,51.824,赤
鹤顶红,中国色名综览_凑幸卫,50.33430705,55.36108032,23.22483818,赤
鱼鳃红,色谱_perchouli,53.324,66.296,48.578,赤
丽春红,色谱_perchouli,50.838,70.783,56.072,赤
丽春红,中国色名综览_凑幸卫,41.21730023,62.97303858,27.92101579,赤
覆盆子红,色谱_perchouli,37.517,54.694,41.049,赤
覆盆子红,中国色名综览_凑幸卫,43.63310409,42.17184942,15.62573906,赤
秋海棠红,色谱_perchouli,51.489,70.119,52.252,赤
秋海棠红,中国色名综览_凑幸卫,43.11003902,63.08926019,22.9116134,赤
淡菽红,色谱_perchouli,55.149,62.699,38.677,赤
淡菽红,中国色名综览_凑幸卫,61.68144851,44.4838469,17.86146302,赤
枸枢红,色谱_perchouli,52.528,68.75,45.692,赤
橘橙,色谱_perchouli,65.668,42.287,67.42,赤
橘橙,中国色名综览_凑幸卫,71.59721311,33.87362256,61.5061658,赤
美人焦橙,色谱_perchouli,66.038,42.317,65.625,赤
海螺橙,色谱_perchouli,69.824,29.63,43.283,赤
海螺橙,中国色名综览_凑幸卫,71.59713991,33.02909294,25.8432358,赤
金莲花橙,色谱_perchouli,62.14,50.551,64.393,赤
醉瓜肉,色谱_perchouli,63.515,27.306,49.854,赤
醉瓜肉,中国色名综览_凑幸卫,61.68137125,19.9315651,27.47170875,赤
金驼,人造丝绸缎色谱_何进丰,50,8,17,赤
曙红,DIC中国传统色,38.181,51.211,20.95,赤
曙红,中国颜色_黄仁达,45.871,47.236,46.53,赤
